Дата и Время,Всего сделок,Винрейт (%),Чистая прибыль (USDT)
2026-05-17 14:36:24,0,0.0%,$0.00
2026-05-17 14:44:09,0,0.0%,$0.00
2026-05-17 14:51:57,0,0.0%,$0.00
2026-05-17 15:00:06,0,0.0%,$0.00
2026-05-17 15:08:29,0,0.0%,$0.00
2026-05-17 15:17:12,0,0.0%,$0.00
2026-05-17 15:26:00,0,0.0%,$0.00
2026-05-17 15:34:59,0,0.0%,$0.00
2026-05-17 15:43:13,0,0.0%,$0.00
2026-05-17 15:51:05,0,0.0%,$0.00
2026-05-17 15:58:57,0,0.0%,$0.00
2026-05-17 16:06:54,0,0.0%,$0.00
2026-05-17 16:14:45,0,0.0%,$0.00
2026-05-17 16:22:43,0,0.0%,$0.00
2026-05-17 16:30:44,0,0.0%,$0.00
2026-05-17 16:38:53,0,0.0%,$0.00
2026-05-17 16:46:36,0,0.0%,$0.00
2026-05-17 16:54:12,0,0.0%,$0.00
2026-05-17 17:02:22,0,0.0%,$0.00
2026-05-17 17:11:23,0,0.0%,$0.00
2026-05-17 17:20:36,0,0.0%,$0.00
2026-05-17 17:29:34,0,0.0%,$0.00
2026-05-17 17:38:27,0,0.0%,$0.00
2026-05-17 17:46:47,0,0.0%,$0.00
2026-05-17 17:54:26,0,0.0%,$0.00
2026-05-17 18:02:12,0,0.0%,$0.00
2026-05-17 18:09:55,0,0.0%,$0.00
2026-05-17 18:17:32,0,0.0%,$0.00
2026-05-17 18:25:14,0,0.0%,$0.00
2026-05-17 18:32:57,0,0.0%,$0.00
2026-05-17 18:40:40,0,0.0%,$0.00
2026-05-17 18:48:28,0,0.0%,$0.00
2026-05-17 18:56:09,0,0.0%,$0.00
2026-05-17 20:00:46,0,0.0%,$0.00
2026-05-17 20:10:09,0,0.0%,$0.00
2026-05-17 20:18:34,0,0.0%,$0.00
2026-05-17 20:27:01,0,0.0%,$0.00
2026-05-17 20:34:53,0,0.0%,$0.00
